iter	MAE	RMSE
0	1.114967707	1.13229995
1	1.10244729	1.119096808
2	1.093401068	1.110032525
3	1.073186353	1.090103875
4	1.065137455	1.081928096
5	1.046191096	1.06320924
6	1.031164096	1.047996336
7	1.021812512	1.03853961
8	1.009198971	1.025808407
9	0.9922203595	1.009156352
10	0.9840762195	1.000959491
11	0.9707719034	0.9878945289
12	0.9617313257	0.9788928546
13	0.953089274	0.9701942199
14	0.9406192487	0.957688782
15	0.919631385	0.9370143782
16	0.9057392923	0.9230119128
17	0.8969538081	0.9138155753
18	0.8864987473	0.9034221037
19	0.8766022613	0.8937003851
